,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Labour Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Resident Labour Force Aged 15 Years And Over By Highest Qualification Attained (HQA) And Sex, End June, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 28/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thousand
Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 
Total Residents In The Labour Force,2446.4,2436.2,2438,2397.8,2345.5,2328.5,2292.7,2269.7,2257.6,2232.3,2185.2,2138.8,2119.6,2080.1,2047.3,1985.7,1928.3,1878,1880.8,1744.8,1733.4,1706.4,1667.9,1644.3,1576.6,1595.9,1546.5,1538.3
  Below Secondary,279.6,297.3,309.5,311.6,334.8,352,365,398.9,411.5,407.3,419.7,423,438.7,446.6,455.3,481.9,467,na,na,na,na,na,na,na,na,na,na,na
  Secondary,323.3,330.5,340.3,344,360.8,373.3,375.9,374,386.6,406.8,390.1,400.6,407.8,420.1,410.3,482.2,452.8,450.8,456.1,406.4,430.7,441.3,455.6,456.7,430.4,455.5,452.2,446.9
  Post-Secondary (Non-Tertiary),282,278.1,278.1,267.8,269.3,261.8,264.3,257.1,260.3,267.7,250.4,247.6,254,245.2,246,154.7,186,165.1,162.7,310.2,153.4,151.9,151.6,148.9,282.1,138.6,153.8,155
  Diploma & Professional Qualification,501.1,497.4,495.7,484.1,464.3,468.7,446.7,429.5,438.7,431.1,426.1,394,396.8,378.9,370.3,336.2,324,300.4,289,184.5,257.8,241.5,222.8,221.1,130.2,195.4,163.4,148.4
  Degree,1060.5,1032.9,1014.2,990.3,916.3,872.7,841,810.1,760.4,719.4,699,673.5,622.2,589.2,565.4,530.9,498.4,437.7,440.6,383.9,373.7,348.7,308.6,278.8,244.8,233,216.5,194.5
Male Residents In The Labour Force,1281.4,1285.5,1300.3,1275.6,1260.1,1251.1,1243.6,1238.7,1224.5,1216.2,1202.6,1183.1,1177.6,1160.4,1151.6,1126.8,1093.2,1078.4,1081.2,1009.9,1017.6,1006.4,992.9,974.1,941.8,956.4,931.7,935.5
  Below Secondary,155,164.3,173,180.5,192.8,200.6,205.3,228.3,231.9,236,244.6,248.6,258.7,264.5,270.6,293.4,287.2,na,na,na,na,na,na,na,na,na,na,na
  Secondary,167.9,175.7,181,170.5,180.8,187.7,192.6,190.5,197.3,205.3,197.7,204.7,209.4,216.5,212.7,260,236.2,237,242.8,224.3,234.6,235.8,247.2,245.7,243.9,243.3,243.4,242.1
