,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Wages and Income from Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Average Weekly Paid Hours Worked Per Employee By Industry, Annual",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 20/03/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hours
Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 
Total,43.3,43.6,44.1,44.2,44,44.7,44.8,45.1,45.5,45.6,46,46.2,46.2,46.2,46.2,46,46.3,46.3,46.2,46.5,46.3,46,46,46.2,47,46.8,46.7,47.3,47.2,47.1,46.9,46.7,46.6,46.6,46.5
  Manufacturing,45.9,46.5,47.5,47.8,46.9,47.8,48.3,48.5,48.9,49.2,49.7,50.1,50.2,50.2,50.5,49.3,50.1,50.6,50.5,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Construction,47.8,48.6,49.9,49.8,48.1,50,50.4,50.8,52,52.1,52.9,53.2,53,52.8,52.4,52.2,52.4,52.2,51.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Services,41.7,41.8,42.3,42.5,42.5,42.9,42.9,43.1,43.2,43.1,43.2,43.4,43.5,43.4,43.4,43.3,43.5,43.3,43.3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Wholesale & Retail Trade,41.3,41.4,42.2,42.4,42.7,42.9,42.9,42.8,42.7,43,43.1,43.2,43.6,43.7,43.8,43.7,43.7,43.4,43.2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Transportation & Storage,43.8,44.3,45.2,45.4,45.1,45.5,45.6,45.5,45.9,45.7,45.8,45.7,46.1,46.2,45.7,45.3,46,45.6,45.8,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Accommodation & Food Services,40.2,40.2,40.4,40.5,40.9,41.8,41.5,42.2,42,41.5,42,43,42.1,41.6,41.2,41.2,41.2,39.8,38.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Information & Communications,40.7,40.6,40.9,41.4,41.5,41.6,41.7,41.5,41.4,41.5,41.5,41.6,41.5,41.5,41.7,41.6,41.6,41.8,41.9,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  Financial & Insurance Services,40.6,40.8,41.3,41.7,41.3,41.6,41.1,41.1,41.1,41.1,41.1,41.2,41.2,41.2,41.4,41.9,42.1,42.3,42.7,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
