,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,
Topic: Labour Force,,,,,,,,,,,,,,,
"Table Title: Usual Hours Worked Per Week And Percentage Of Workers Who Worked At Least 40 Hours Per Week, Annual",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data last updated: 28/01/2025,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data Series,2024 ,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 
Mean Usual Hours Worked Per Week (Hours),41.6,41.9,42.2,42.4,42.8,42.9,43,43.2,43.4,44.2,44.3,45.3,45.6,45.9,46.6
Percentage Of Workers Who Usually Worked At Least 40 Hours Per Week (Per Cent),na,83.8,83.2,83.5,82.9,83.6,83.6,84.3,84.7,84.8,85.6,87.1,87.4,87.3,88.3
,,,,,,,,,,,,,,,
Definitions and Footnotes:,,,,,,,,,,,,,,,
"1. Usual hours worked refers to the number of hours that a person usually works in a typical week, regardless of whether he is paid or not.  2. Data are for June of reference year.  3. Data exclude full-time National Servicemen.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Notation:,,,,,,,,,,,,,,,
na   not available or not applicable,,,,,,,,,,,,,,,
nec  not elsewhere classified,,,,,,,,,,,,,,,
nes  not elsewhere specified,,,,,,,,,,,,,,,
 -     nil or negligible or not significant,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,,,,,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,,,,,,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Generated by: SingStat Table Builder,,,,,,,,,,,,,,,
Date generated: 11/10/2025,,,,,,,,,,,,,,,
Contact: info@singstat.gov.sg,,,,,,,,,,,,,,,
